,countries,export_product_diversity,import_product_diversity,is_latinoamerica,year
0,ABW,1.4043629227139218,74.28876066366998,True,1995
1,AFG,13.292493052159042,85.40551800429533,False,1995
2,AGO,1.624712985453045,228.73735494314585,False,1995
3,AIA,1.0,1.0,False,1995
4,ALB,73.43488188938178,443.7468626947028,False,1995
5,AND,84.27464183594579,357.8464412475145,False,1995
6,ANT,1.0,1.0,False,1995
7,ARE,11.784197611725943,751.2983371119122,False,1995
8,ARG,186.0413590645245,969.948368526822,True,1995
9,ARM,8.130643313140746,41.59216305295372,False,1995
10,ASM,1.0,1.0,False,1995
11,ATF,1.0,1.0,False,1995
12,ATG,16.87354251590928,140.2114918091938,True,1995
13,AUS,211.14850277808029,855.5942439873194,False,1995
14,AUT,902.9465284307462,1118.7097488501263,False,1995
15,AZE,15.250337121641394,167.96255000317802,False,1995
16,BDI,4.567081262397844,315.5742617826573,False,1995
17,BEL,1.0,1.0,False,1995
18,BEN,5.007280771241036,138.20824621842073,False,1995
19,BES,1.0,1.0,False,1995
20,BFA,9.00690700713323,325.8490711881397,False,1995
21,BGD,81.99892010589801,460.361194773178,False,1995
22,BGR,323.0459100874276,746.9791951907199,False,1995
23,BHR,26.494316916393743,653.4337254119283,False,1995
24,BHS,22.719821697698837,86.31566913471292,True,1995
25,BIH,114.21937616582414,454.5863768271055,False,1995
26,BLM,1.0,1.0,False,1995
27,BLR,153.54738177418838,501.55267148872696,False,1995
28,BLZ,28.28526971419316,306.63114823610766,True,1995
29,BMU,9.021427632577693,164.9311055584805,False,1995
30,BOL,34.190068911175764,630.2970826115305,True,1995
31,BRA,309.1266684663734,613.9919117182441,True,1995
32,BRB,74.46619321354359,417.31172296569247,True,1995
33,BRN,4.4441860008469485,215.01266313282613,False,1995
34,BTN,15.529584621014669,124.89681654118976,False,1995
35,BWA,1.0,1.0,False,1995
36,CAF,9.736319830507034,279.64687087574146,False,1995
37,CAN,251.24003994121452,707.1859172142675,False,1995
38,CCK,1.0,1.0,False,1995
39,CHE,587.4106056505092,907.9584279341924,False,1995
40,CHL,59.20806816607088,746.6168280970825,True,1995
41,CHN,887.2226363883069,813.4819818710059,False,1995
42,CIV,37.285122788151554,309.5525190628675,False,1995
43,CMR,21.51473210297482,509.7880045569396,False,1995
44,COD,8.772252685754871,312.3727830146049,False,1995
45,COG,4.540258672588803,184.84049227469143,False,1995
46,COK,1.0,1.0,False,1995
47,COL,64.44783790661401,836.9099832683147,True,1995
48,COM,7.034485822796067,296.32401981581336,False,1995
49,CPV,12.652945542272214,255.78259473344036,False,1995
50,CRI,81.65886875575457,789.7232287147752,True,1995
51,CSK,1.0,1.0,False,1995
52,CUB,11.589694071065184,355.2306123858928,True,1995
53,CUW,1.0,1.0,True,1995
54,CXR,1.0,1.0,False,1995
55,CYM,30.36888303207073,76.53045284756635,True,1995
56,CYP,106.60019776450368,423.6482919108777,False,1995
57,CZE,989.9991148147436,1186.8092724567396,False,1995
58,DDR,1.0,1.0,False,1995
59,DEU,1046.685008534194,1111.5007252146518,False,1995
60,DJI,94.81221531650756,156.35716978490555,False,1995
61,DMA,31.36940699115795,451.7211246097284,True,1995
62,DNK,642.8566007959586,1104.1082482869906,False,1995
63,DOM,76.2402136679497,391.7031219333543,True,1995
64,DZA,6.716695195197099,529.5945868412704,False,1995
65,ECU,18.50829081651555,629.4376550741541,True,1995
66,EGY,56.47609964330352,706.6125609164123,False,1995
67,ERI,39.81938761710614,178.36763592088826,False,1995
68,ESP,611.4149041194154,993.0444168140292,False,1995
69,EST,336.3665225342346,721.6292588522975,False,1995
70,ETH,10.192038857090456,403.3561622297029,False,1995
71,FIN,318.27267857987545,847.6705059594098,False,1995
72,FJI,24.480884175664187,414.22289829465234,False,1995
73,FLK,1.0,1.0,False,1995
74,FRA,895.7853526125735,1095.3690623025598,False,1995
75,FSM,5.528056043650717,106.34247483065246,False,1995
76,GAB,2.9537535829806894,454.0786365056688,False,1995
77,GBR,740.097071432619,977.5209322557066,False,1995
78,GEO,26.94598459656124,54.67467365446311,False,1995
79,GHA,18.944161305539684,569.0311776058215,False,1995
80,GIB,21.956985366943123,25.35422674535761,False,1995
81,GIN,8.801453278460313,276.201567529891,False,1995
82,GMB,6.1474780437914855,242.5596924341588,False,1995
83,GNB,7.446658636532169,185.6651725228141,False,1995
84,GNQ,6.631770922722561,140.40343250442191,False,1995
85,GRC,340.243675145832,872.3697210463406,False,1995
86,GRD,35.1765725720827,401.15230385241216,True,1995
87,GRL,5.423497542309876,303.83790481222104,False,1995
88,GTM,86.04865788666449,714.9076599937567,True,1995
89,GUM,1.0,1.0,False,1995
90,GUY,10.670030836698704,303.68249878922705,True,1995
91,HKG,565.3119906092119,787.473012569971,False,1995
92,HND,61.8989454296917,566.6428428176555,True,1995
93,HRV,363.8765010836599,875.4246011924547,False,1995
94,HTI,68.39682605720716,222.77331049562733,True,1995
95,HUN,662.1571852345076,933.690306211896,False,1995
96,IDN,208.7649887208556,796.17174740379,False,1995
97,IND,363.6783484702692,401.8836164351701,False,1995
98,IOT,1.0,1.0,False,1995
99,IRL,222.42440234944135,587.1320671785431,False,1995
