,countries,export_product_diversity,import_product_diversity,is_latinoamerica
0,ABW,1.931024222024869,173.3245558523737,True
1,AFG,34.05769714077766,118.2104316748233,False
2,AGO,1.6495269747262575,204.07539652936958,False
3,AIA,1.0,1.0,False
4,ALB,115.30224029682213,497.3702408815368,False
5,AND,134.10543371257336,403.0359116513516,False
6,ANT,1.0,1.0,False
7,ARE,21.51720894905795,592.9811212644156,False
8,ARG,136.82807718166904,901.3093708339793,True
9,ARM,58.485757395884775,190.91212981891368,False
10,ASM,25.470364452965153,49.49083126538105,False
11,ATF,1.0,1.0,False
12,ATG,3.989396323523522,76.17778136340016,True
13,AUS,184.3855631938996,649.9143617634228,False
14,AUT,766.1664622507269,935.4933852667217,False
15,AZE,3.573433563079251,347.14862283208686,False
16,BDI,9.030196531586974,299.1541854968774,False
17,BEL,631.2324713602244,745.2103943655871,False
18,BEN,13.55850324978487,257.2320870776357,False
19,BES,1.0,1.0,False
20,BFA,29.699905455620996,183.78659407462425,False
21,BGD,80.62568929039455,529.4793206185745,False
22,BGR,382.8294129892398,887.122285903024,False
23,BHR,27.134742049205038,580.7348838249887,False
24,BHS,35.54909784063816,101.75978825163965,True
25,BIH,143.29056274437914,590.8368533289452,False
26,BLM,1.0,1.0,False
27,BLR,187.05323546442446,395.7171039102282,False
28,BLZ,34.13384352298605,329.33628788103726,True
29,BMU,14.214527149184914,10.752425959915099,False
30,BOL,37.068913381554054,595.5327506235069,True
31,BRA,266.2129962936405,548.8995712626471,True
32,BRB,48.07594364350093,448.3129815635619,True
33,BRN,5.704522311022572,563.5278566648624,False
34,BTN,17.049624214706956,99.61085305260049,False
35,BWA,3.6893234370678827,553.1694216962603,False
36,CAF,7.5853953702920665,192.48093787340278,False
37,CAN,256.0987615992817,704.7229942156396,False
38,CCK,1.0,1.0,False
39,CHE,429.919446661157,587.4182268789217,False
40,CHL,72.86888255035052,591.6739122669935,True
41,CHN,760.2182336378921,619.6213640388701,False
42,CIV,40.11136461477682,245.9012933905415,False
43,CMR,13.121086769461964,276.00440046341663,False
44,COD,4.9241554957346265,270.11836886234994,False
45,COG,2.8089916591508017,233.46738923267935,False
46,COK,1.0,1.0,False
47,COL,83.18432309720143,843.9211272639043,True
48,COM,3.035460809455365,161.24414653841762,False
49,CPV,36.80245966975676,337.50549387291244,False
50,CRI,105.406193990611,536.8058876539283,True
51,CSK,1.0,1.0,False
52,CUB,15.10318772721931,619.7370368458919,True
53,CUW,1.0,1.0,True
54,CXR,1.0,1.0,False
55,CYM,4.553989520136203,22.502486051755028,True
56,CYP,130.59066865247604,201.71773364931744,False
57,CZE,639.4482076913798,862.6279483343516,False
58,DDR,1.0,1.0,False
59,DEU,772.6724242967246,880.1712007365313,False
60,DJI,32.05537441025276,206.12398978023376,False
61,DMA,78.75438539688896,561.0217882880862,True
62,DNK,581.3042788790235,986.8250501716366,False
63,DOM,92.27111256113278,486.5689883486164,True
64,DZA,7.0107820649856105,490.39399679041856,False
65,ECU,22.76937752596751,644.1424874052962,True
66,EGY,123.389566462439,644.96890291474,False
67,ERI,44.09884742784578,241.97232574645184,False
68,ESP,679.9409878403036,759.0135874524899,False
69,EST,229.19564680761232,470.86635737767324,False
70,ETH,26.90281258397883,336.4049121576457,False
71,FIN,246.55413910513693,694.1779073683655,False
72,FJI,47.5385850643749,221.7497941728634,False
73,FLK,1.0,1.0,False
74,FRA,698.5999013382694,840.2672402043122,False
75,FSM,7.940618640207617,138.6769454076834,False
76,GAB,3.0153239464728387,465.3392092708557,False
77,GBR,493.70855406645506,697.5818571453725,False
78,GEO,61.70488061530612,265.04504909360634,False
79,GHA,28.281421820766134,375.44470567184396,False
80,GIB,9.499077109352436,17.310432885482186,False
81,GIN,9.667630133510801,291.6575364812229,False
82,GMB,32.34148261250545,240.97392533705994,False
83,GNB,2.9911245140530305,203.57477836133324,False
84,GNQ,1.8792707021877395,92.07938345680714,False
85,GRC,353.56394877988464,545.33518428846,False
86,GRD,26.842342253313273,467.26784935306955,True
87,GRL,10.279310948796015,109.93796816649171,False
88,GTM,156.52163430614135,630.5727857467501,True
89,GUM,8.40429064664045,13.340230647095966,False
90,GUY,25.54337414221373,347.6697944906404,True
91,HKG,433.52466720770326,604.6012358177437,False
92,HND,77.31579226462678,481.51505351136205,True
93,HRV,276.7392906490189,742.856763899759,False
94,HTI,26.031204202094695,246.77815055726063,True
95,HUN,327.65016631924914,640.1027725815843,False
96,IDN,293.54167500824053,588.2466828839388,False
97,IND,479.59450557368336,312.55303775459186,False
98,IOT,1.0,1.0,False
99,IRL,100.11869027706739,365.59528885487055,False
100,IRN,6.144859200472155,547.1333609463697,False
101,IRQ,1.1243543035087085,246.37342103537742,False
102,ISL,37.22852383764893,407.66723006444266,False
103,ISR,151.98946190247887,417.96489044027834,False
104,ITA,997.1490123319013,747.1372736508858,False
105,JAM,17.74175649435994,346.29502931695896,True
106,JOR,173.99636156098435,514.6786585018685,False
107,JPN,390.7792118068788,467.70342940530696,False
108,KAZ,18.24681649955533,558.3844224179124,False
109,KEN,77.59167141515147,237.70511586310394,False
110,KGZ,22.00337277912128,293.1191944992692,False
111,KHM,65.71036438152939,241.7703268747726,False
112,KIR,3.8102044745847508,145.1481184525405,False
113,KNA,17.879930239800643,411.31048770040314,True
114,KOR,288.51800044208545,346.77730740859533,False
115,KWT,4.163666969586749,562.2150357677607,False
116,LAO,38.24271017103012,197.50504672613783,False
117,LBN,221.4335785104716,326.0679156040883,False
118,LBR,8.166867516168706,5.869990168166712,False
