,countries,export_product_diversity,import_product_diversity,is_latinoamerica
0,ABW,1.594747583899604,25.946594101572757,True
1,AFG,31.168384224528946,251.68063373422737,False
2,AGO,1.3535136083695691,326.34382048051884,False
3,AIA,1.0,1.0,False
4,ALB,104.36745257031315,572.4643780615319,False
5,AND,94.66508019016071,358.02276923325877,False
6,ANT,1.0,1.0,False
7,ARE,27.120641909483478,544.4728739557963,False
8,ARG,113.88591155775791,809.951113658066,True
9,ARM,25.565969178483,159.35000919754145,False
10,ASM,23.124960036883426,43.66452721354847,False
11,ATF,1.0,1.0,False
12,ATG,2.9426887583907333,120.14836281342129,True
13,AUS,191.45918017545588,611.7449262408194,False
14,AUT,749.0088326696854,909.7046969570612,False
15,AZE,4.5656714897723045,386.00437342001646,False
16,BDI,5.297799870840207,208.81078566034338,False
17,BEL,601.587026139204,626.5912132356981,False
18,BEN,11.737395811933906,229.37653718571357,False
19,BES,1.0,1.0,False
20,BFA,6.290942674907445,255.43310459048544,False
21,BGD,70.07724204642776,454.4234210306034,False
22,BGR,439.5106445675973,918.9636874575293,False
23,BHR,32.54003558241141,499.4352844867697,False
24,BHS,19.16903394856709,35.26212920183741,True
25,BIH,145.38583651334235,631.37404587456,False
26,BLM,1.0,1.0,False
27,BLR,158.81816021997898,407.33910019159015,False
28,BLZ,30.713165855422933,349.9464756385766,True
29,BMU,5.631191648778016,8.139601693603584,False
30,BOL,31.321514172973824,624.0576412522506,True
31,BRA,261.82128478117824,516.397933373714,True
32,BRB,32.13331951084479,444.77915116994706,True
33,BRN,5.342939860425758,320.64715004298716,False
34,BTN,20.23900118775407,184.91035643575233,False
35,BWA,4.065391506522051,568.3737163996141,False
36,CAF,11.322029328616987,252.14888083081368,False
37,CAN,253.1406214151731,675.6216306016345,False
38,CCK,1.0,1.0,False
39,CHE,398.0811380308171,565.7926366909055,False
40,CHL,79.9366322064124,585.921209474107,True
41,CHN,650.9504453519689,524.9963124212283,False
42,CIV,31.177856075181584,187.14079061148928,False
43,CMR,15.361439556012856,400.5970199435165,False
44,COD,7.21231731294772,276.74528483972114,False
45,COG,3.1539866061913964,405.40475678772754,False
46,COK,1.0,1.0,False
47,COL,76.04248527578018,757.3574550144733,True
48,COM,2.7595694756965194,153.06097122098691,False
49,CPV,34.62011727541577,351.59487837140443,False
50,CRI,55.65724731849698,422.5088393287424,True
51,CSK,1.0,1.0,False
52,CUB,19.23863798727642,362.1776975631915,True
53,CUW,1.0,1.0,True
54,CXR,1.0,1.0,False
55,CYM,2.5005276447210383,14.227697914068163,True
56,CYP,146.79009013069208,100.65779748330463,False
57,CZE,580.207944684886,846.1894232403362,False
58,DDR,1.0,1.0,False
59,DEU,753.9409156312639,872.9336663124744,False
60,DJI,38.73919935017145,212.25704702807315,False
61,DMA,49.89428091475248,509.2118757051625,True
62,DNK,563.8448849590562,930.9374557750916,False
63,DOM,105.62795344115077,539.6946508929884,True
64,DZA,6.106234898017682,549.1979895997018,False
65,ECU,20.013849739225392,579.9695160331812,True
66,EGY,131.6629743024753,614.9823513538973,False
67,ERI,55.76790092273608,283.11449493506973,False
68,ESP,602.7959393803319,743.8666708184438,False
69,EST,298.35792094091846,558.2808099329022,False
70,ETH,23.3467335985451,358.9755876773216,False
71,FIN,248.9038623644916,652.1664093717887,False
72,FJI,69.24605515274214,522.3040003382877,False
73,FLK,1.0,1.0,False
74,FRA,686.6447516828282,834.1054692799639,False
75,FSM,8.95635147210921,406.52722410449314,False
76,GAB,3.1003196993036086,422.3258188102323,False
77,GBR,513.9812051886832,710.8158792430039,False
78,GEO,42.21675731401921,243.81421618555646,False
79,GHA,24.66029232832855,380.33664489714874,False
80,GIB,15.856894483339252,20.614413777275104,False
81,GIN,9.75006774135043,216.09057349334265,False
82,GMB,35.70904019157289,221.9281399884911,False
83,GNB,4.035553522831264,140.33417021013693,False
84,GNQ,1.6608421366242543,55.7341507124443,False
85,GRC,387.551539016359,547.8519710735384,False
86,GRD,51.643794787288826,428.1302700385135,True
87,GRL,9.245100821932486,353.63584301312153,False
88,GTM,167.4238634067651,549.412190995802,True
89,GUM,11.721764728541324,30.151384576433003,False
90,GUY,25.579721260618,243.29452451486756,True
91,HKG,391.68290495166815,447.6051812141388,False
92,HND,85.16264156212067,436.97804666809134,True
93,HRV,300.406287192521,772.1891188720816,False
94,HTI,23.975107622607034,156.28128803786134,True
95,HUN,312.3404860111366,638.1604451321358,False
96,IDN,286.56015069302777,554.3788559874934,False
97,IND,427.41316875473984,313.8561544196728,False
98,IOT,1.0,1.0,False
99,IRL,92.80279648313346,473.66866005470166,False
100,IRN,6.503343964238035,594.9722904528861,False
101,IRQ,1.5268051783605476,294.1603306671241,False
102,ISL,39.18206947993136,589.6308667426806,False
103,ISR,130.38205412864258,354.215536994803,False
104,ITA,999.2574435187665,744.0451892929216,False
105,JAM,16.881093105866736,285.715577382787,True
106,JOR,170.04854917242702,538.9981597278359,False
107,JPN,370.3254521349065,445.3893775194363,False
108,KAZ,16.82320387504929,585.2744751274962,False
109,KEN,90.96012730932955,359.51046308129196,False
110,KGZ,29.215560537781414,310.59982607206217,False
111,KHM,60.470106462845564,239.9951508854305,False
112,KIR,3.9496411187532763,237.39227628186558,False
113,KNA,15.702012893388737,259.75948695281454,True
114,KOR,243.91649959751487,380.83257124539506,False
115,KWT,4.544084057280065,528.0083135387246,False
116,LAO,40.44568384186246,198.36713380613836,False
117,LBN,164.86345846315444,375.54383684072883,False
118,LBR,6.316148623204786,4.846216343074568,False
119,LBY,2.35592514334987,338.4733532237093,False
120,LCA,42.94151723113414,343.73245973872247,True
121,LKA,188.79102656578416,562.2905360547708,False
122,LSO,16.730680874659356,346.02820242646675,False
123,LTU,179.72591388675642,545.9340810055515,False
124,LUX,237.96297585835921,455.31215722698556,False
125,LVA,144.3315724730837,620.3736392968386,False
126,MAC,106.4134039612465,380.0489617942304,False
127,MAR,171.39795001307738,671.0058624580138,False
128,MDA,113.66447776915696,444.0386429409785,False
129,MDG,38.65551275354668,481.28825767980845,False
130,MDV,22.461195687495415,467.9740725884552,False
131,MEX,227.82380924815783,674.0185227498953,True
132,MHL,7.707620362138061,2.7976544497371028,False
133,MKD,171.90290684591392,629.2758586109821,False
134,MLI,4.282786729261611,227.1401103460605,False
135,MLT,36.657524561249325,163.07173228323435,False
136,MMR,42.71509926625252,360.02447447405507,False
137,MNE,1.0,1.0,False
138,MNG,32.243010820970966,341.1317723861722,False
139,MNP,44.93504858459643,24.406173155873738,False
140,MOZ,13.024071697405644,444.46804607687613,False
141,MRT,9.976273464001034,305.28522768696945,False
142,MSR,1.0,1.0,False
143,MUS,60.149703660952845,619.5274408754532,False
144,MWI,14.156251419471605,502.2424155594226,False
145,MYS,157.5121435507557,308.33174490548697,False
146,MYT,1.0,1.0,False
147,NAM,72.11657998620421,531.7533455719971,False
148,NCL,5.400734023834312,361.93367877546666,False
149,NER,13.931289905207734,193.39851332139398,False
150,NFK,1.0,1.0,False
151,NGA,2.235992612279592,504.4132389427135,False
152,NIC,65.16831284254879,419.05268817431096,True
153,NIU,1.0,1.0,False
154,NLD,645.2371270967355,594.8912329865753,False
155,NOR,36.67533997110239,792.8360138816086,False
156,NPL,177.96031406136925,364.17540582853684,False
157,NRU,13.065603608438938,63.23982223356175,False
158,NZL,246.4297650133139,640.688398630851,False
159,OMN,4.0377723486108295,119.71364354837706,False
160,PAK,199.4084403537016,399.0351761279947,False
161,PAN,121.20956797779172,66.27209592528374,True
162,PCN,1.0,1.0,False
163,PER,49.65428696732906,510.115122933549,True
164,PHL,89.74728491829002,246.95622405467182,False
165,PLW,5.021695087099961,113.42074039054967,False
166,PNG,16.20119079843873,420.43499858302147,False
167,POL,556.9045279235153,808.1623099808317,False
168,PRK,131.16807828000287,291.69605014448257,False
169,PRT,376.39759701854535,796.656942534053,False
170,PRY,8.621054552720482,300.54778577196834,True
171,PSE,97.71263315716463,179.12592353985747,False
172,PUS,1.0,1.0,False
173,PYF,11.024039514813568,352.90898275658964,False
174,QAT,5.378446182960655,308.2125515188038,False
175,R20,1.0,1.0,False
176,ROU,355.8332929947056,793.3579650578604,False
177,RUS,51.6408457170038,908.6110462675742,False
178,RWA,10.02779222474872,212.30072085290035,False
179,S19,1.0,1.0,False
180,SAU,4.299765563794663,756.7349520516439,False
181,SCG,1.0,1.0,False
182,SDN,1.0,1.0,False
183,SEN,88.32156311278663,311.810503506962,False
184,SGP,160.11068531741768,241.147712538173,False
185,SHN,1.0,1.0,False
186,SLB,5.801936349800542,100.64756963517122,False
187,SLE,20.18212244518592,419.7561069195816,False
188,SLV,104.13941715036694,537.0606693564201,True
189,SMR,56.274936878240595,40.18380386487169,False
190,SOM,20.23824904271044,38.19903772817775,False
191,SPM,1.0,1.0,False
192,SRB,1.0,1.0,False
193,SSD,1.0,1.0,False
194,STP,9.528333320857062,291.31380955925135,False
195,SUN,1.0,1.0,False
196,SUR,7.705500031308422,346.7671637781127,True
197,SVK,235.79106040718293,616.4783761919653,False
198,SVN,442.66102878185666,928.2295114254035,False
199,SWE,463.47135739717964,747.4819979515094,False
200,SWZ,42.765222928622194,424.8820585369578,False
201,SXM,1.0,1.0,True
202,SYC,8.106333341538747,251.53549459844402,False
203,SYR,25.61406762806544,608.7271865790251,False
204,TCA,36.53405853640438,246.47346129721367,True
205,TCD,3.70727670749195,176.36549767341234,False
206,TGO,42.34234433908525,174.2517926826646,False
207,THA,421.20942756824803,467.0274836645092,False
208,TJK,8.301900751678998,130.71306037942938,False
209,TKL,1.0,1.0,False
210,TKM,3.2838454001168422,376.7406219625771,False
211,TLS,8.278603002049437,117.683255526259,False
212,TON,15.542058752685891,175.34821671370972,False
213,TTO,15.603358119865444,222.71744993596175,True
214,TUN,204.91837724067798,677.4063239729029,False
215,TUR,468.30636504908523,686.7896940940968,False
216,TUV,20.706653003990247,92.21029222114429,False
217,TZA,37.196974193703326,359.0066755303297,False
218,UGA,48.697768406365746,345.7871130239731,False
219,UKR,258.7761354133445,361.91389155673676,False
220,URY,103.69222472718177,418.697702279357,True
221,USA,706.1939023254051,452.2461263857539,False
222,UZB,23.845634371691297,383.6201080624434,False
223,VCT,20.915336430322593,155.18660599805932,True
224,VEN,6.542784963719822,700.5778232670319,True
225,VGB,17.49359557256332,5.906500847956265,True
226,VNM,182.608821424581,672.3277972102971,False
227,VUT,13.863951932740802,25.113606991240754,False
228,WLF,1.0,1.0,False
229,WSM,8.18239875128821,292.4279334628982,False
230,YEM,2.5054577569755234,355.401325638804,False
231,ZA1,1.0,1.0,False
232,ZAF,355.8926235519598,575.5899786601966,False
233,ZMB,18.25620595152069,644.5239990984645,False
234,ZWE,74.54036916586952,305.1386721669161,False
