,countries,export_product_diversity,import_product_diversity,is_latinoamerica
0,ABW,32.87674661098288,77.82156421304457,True
1,AFG,33.067335987528814,174.37393073662017,False
2,AGO,2.351093341036387,418.72089212614276,False
3,AIA,1.0,1.0,False
4,ALB,123.95040187779328,543.7147378375616,False
5,AND,93.07076340464616,316.72546496231143,False
6,ANT,1.0,1.0,False
7,ARE,59.29034991469465,280.1505979515262,False
8,ARG,83.0171109441723,517.1056045337879,True
9,ARM,37.5388697608721,340.4493404132939,False
10,ASM,18.043366731575905,22.6444073338086,False
11,ATF,1.0,1.0,False
12,ATG,10.015244178173365,80.62638083474383,True
13,AUS,60.23622577955624,523.934722188783,False
14,AUT,732.7481046776879,848.1818284583286,False
15,AZE,3.4357459442000966,566.2459709133178,False
16,BDI,9.039467802275176,227.70638982298186,False
17,BEL,508.29119048389407,627.8779166903537,False
18,BEN,20.884778380051284,155.62670566993071,False
19,BES,1.0,1.0,False
20,BFA,6.378006929780113,248.83867673046086,False
21,BGD,48.589177563444515,574.3513313828242,False
22,BGR,428.2761241478001,615.8014733491661,False
23,BHR,72.24606672215468,224.16109018555122,False
24,BHS,25.107914337185118,65.45777875125079,True
25,BIH,267.8205684191724,665.5606076457867,False
26,BLM,1.0,1.0,False
27,BLR,172.85426841210017,343.7802211701437,False
28,BLZ,44.008446410887,410.32562748364086,True
29,BMU,3.6977542266919556,19.217396031683865,False
30,BOL,18.425080703490448,599.4724291504034,True
31,BRA,149.3715097888146,572.6723426240428,True
32,BRB,76.60505650435603,535.6432698338094,True
33,BRN,4.274720734360494,479.8307830670353,False
34,BTN,7.503614276034124,100.94229221824077,False
35,BWA,2.8820531242242957,143.74448437961652,False
36,CAF,20.11427344508478,204.2967797975108,False
37,CAN,241.3002296312398,677.1546872854001,False
38,CCK,1.0,1.0,False
39,CHE,78.55185787585395,154.76856222181303,False
40,CHL,49.14715633629168,549.1815662759225,True
41,CHN,606.3952091700271,291.11845854099437,False
42,CIV,29.98137767675276,333.9924073558183,False
43,CMR,20.925330108346497,392.05956356275203,False
44,COD,11.381745793165765,390.54538671878475,False
45,COG,9.479873236696662,21.66795208686424,False
46,COK,1.0,1.0,False
47,COL,44.12425217696454,570.9979351239559,True
48,COM,6.676852730033032,193.69238338148386,False
49,CPV,24.94462018828882,283.4564979515833,False
50,CRI,86.90399031221797,575.1194866597666,True
51,CSK,1.0,1.0,False
52,CUB,23.49175878041335,386.20992674852056,True
53,CUW,5.787238894386655,102.98261741830477,True
54,CXR,1.0,1.0,False
55,CYM,2.54540823768189,10.635085342271848,True
56,CYP,105.3522670277693,270.332256540789,False
57,CZE,448.0947738783025,699.0212533125087,False
58,DDR,1.0,1.0,False
59,DEU,673.9996487875545,849.050860995233,False
60,DJI,21.778410705901955,380.463210440804,False
61,DMA,50.73340352627446,540.083862161319,True
62,DNK,486.94057273922147,856.695695971212,False
63,DOM,87.79838251626744,542.46789737525,True
64,DZA,6.815939493011841,633.6205422888002,False
65,ECU,20.095248863807136,447.3597458336121,True
66,EGY,186.64268737531637,532.5976570258539,False
67,ERI,4.290174539981111,158.62861944342131,False
68,ESP,631.9892385577036,716.2734664110271,False
69,EST,354.04109346148806,583.8044531900655,False
70,ETH,32.62469843190348,338.28050900495845,False
71,FIN,342.6798754000769,664.7739308178227,False
72,FJI,97.57068343432928,422.04482798543853,False
73,FLK,1.0,1.0,False
74,FRA,549.3331487682526,792.219027492412,False
75,FSM,3.0710120271721024,58.779817465546486,False
76,GAB,9.528524416735692,50.36258819865252,False
77,GBR,449.39288705507744,498.0524409306253,False
78,GEO,81.87884530150095,413.1713144761762,False
79,GHA,12.467243987700458,580.6573878539601,False
80,GIB,6.969967765333749,3.815793057985034,False
81,GIN,6.252073236984412,229.43953720256096,False
82,GMB,10.051077160676018,194.96584962888014,False
83,GNB,2.9700073629024764,180.42523366325918,False
84,GNQ,3.1206979942435855,118.49416982689564,False
85,GRC,168.4644280779364,380.6541871020528,False
86,GRD,35.60663973030344,300.239804762949,True
87,GRL,9.926675505070135,236.33685167019235,False
88,GTM,151.87646615859165,505.8952656175113,True
89,GUM,74.82936632903436,30.94358929016842,False
90,GUY,15.331867924761848,465.1341397364654,True
91,HKG,136.719922266517,125.95900557331446,False
92,HND,76.23180405663484,453.00097278512715,True
93,HRV,423.5983697736594,684.2508803696842,False
94,HTI,15.256922079857958,253.30651469560627,True
95,HUN,334.1786757004321,606.0181832201858,False
96,IDN,266.7665749945019,677.1256782230466,False
97,IND,357.52394461933176,250.43105139936284,False
98,IOT,1.0,1.0,False
99,IRL,84.25434122336074,434.5719802520696,False
100,IRN,20.348381287934888,629.6517971295148,False
101,IRQ,1.3832462761785862,403.2468180868376,False
102,ISL,38.909538803343075,238.36604098433352,False
103,ISR,132.01248234331848,392.5604877162432,False
104,ITA,899.1838148731482,661.590116192053,False
105,JAM,24.326944733437003,405.8917365051252,True
106,JOR,152.91764753424064,476.7122621057971,False
107,JPN,364.89663985559093,463.45715478330766,False
108,KAZ,18.094890200998304,728.7909142093512,False
109,KEN,99.65810508222368,481.7565331106626,False
110,KGZ,28.885615411421963,278.64058948695777,False
111,KHM,107.67436902571335,258.645230754401,False
112,KIR,3.5793960203798028,224.05646613390806,False
113,KNA,34.20001312257767,268.29815928336507,True
114,KOR,230.9271070804268,386.7402268477116,False
115,KWT,5.386826164512293,586.7205153430959,False
116,LAO,40.77567650914318,303.87383868114875,False
117,LBN,162.71610919503627,285.70565403048425,False
118,LBR,13.238650887690902,8.02023181283201,False
119,LBY,2.9835740733242697,252.9457381348432,False
120,LCA,28.816651576726613,53.92377806748405,True
121,LKA,176.5166653168085,509.07394214550874,False
122,LSO,30.18437945488903,370.6090205812226,False
123,LTU,379.7543249941034,614.2126910475939,False
124,LUX,306.1747176856315,483.4489606057528,False
125,LVA,367.5782672370421,305.3136960148548,False
126,MAC,124.5771060697277,278.54407118672293,False
127,MAR,153.78022694651253,566.770028909105,False
128,MDA,152.68268245057936,480.98711833128334,False
129,MDG,49.13601443460794,384.871082731261,False
130,MDV,12.249096279245357,496.1395839759251,False
131,MEX,230.24713041609388,547.9281749772077,True
132,MHL,7.511530684220025,4.273860331429307,False
133,MKD,87.20128018033951,368.33812257120655,False
134,MLI,4.24892263106762,257.0378212273647,False
135,MLT,39.15720538755798,61.08204680549043,False
136,MMR,47.086203308028495,413.1934308298537,False
137,MNE,67.48479887684353,503.58476474711205,False
138,MNG,12.100972065585847,237.06589862877016,False
139,MNP,14.18824247751097,76.63262562558188,False
140,MOZ,33.51188944458723,265.6294264560128,False
141,MRT,15.90709743609033,332.40357027712,False
142,MSR,1.0,1.0,False
143,MUS,105.47574871580903,529.3575615877932,False
144,MWI,16.87426685444818,288.5202637841777,False
145,MYS,183.66530627866206,460.3558543376198,False
146,MYT,1.0,1.0,False
147,NAM,36.346850819064095,285.1242085580046,False
148,NCL,4.701445837081829,307.4467363341206,False
149,NER,14.647608949193922,274.74710759042887,False
150,NFK,1.0,1.0,False
151,NGA,3.742188225362297,426.44731164795905,False
152,NIC,52.434639845947714,486.4594363974293,True
153,NIU,1.0,1.0,False
154,NLD,603.6415140939055,523.4160334803304,False
155,NOR,51.11289516262739,666.6441355654663,False
156,NPL,95.68626293395337,345.53026463365995,False
157,NRU,10.104609671027516,207.65763229124676,False
158,NZL,153.013549520393,619.3065394382837,False
159,OMN,14.952985566021296,361.407955442104,False
160,PAK,206.31048232703958,491.90936895372914,False
161,PAN,127.27109165443548,135.25544045034206,True
162,PCN,1.0,1.0,False
163,PER,41.71305800361369,535.4066278580545,True
164,PHL,151.37569636020754,475.85547109912414,False
165,PLW,5.283760271714306,255.06798945396207,False
166,PNG,10.668215421260447,334.62683059009606,False
167,POL,675.1115937507541,908.0674396507302,False
168,PRK,30.244248994910357,326.40157941184543,False
169,PRT,529.349734546551,754.965082508216,False
170,PRY,18.06011670157685,342.70463003067255,True
171,PSE,107.77202374005371,207.839344535633,False
172,PUS,1.0,1.0,False
173,PYF,19.931216695290512,434.6756588740619,False
174,QAT,6.217206931021181,435.8035051878018,False
175,R20,1.0,1.0,False
176,ROU,360.5759851553076,817.5117129798915,False
177,RUS,55.55170570556335,915.1983478981581,False
178,RWA,22.563815033459072,234.99810786857938,False
179,S19,1.0,1.0,False
180,SAU,10.08383301406085,669.4555878298164,False
181,SCG,1.0,1.0,False
182,SDN,15.2536682266203,261.1528162129961,False
183,SEN,77.65961468184318,381.8257198501027,False
184,SGP,125.84175684121975,205.95717430015648,False
185,SHN,1.0,1.0,False
186,SLB,9.697434732640332,302.52604907090745,False
187,SLE,21.62772054352429,361.59118138370775,False
188,SLV,137.29456397689526,544.0875255689821,True
189,SMR,81.45657045208024,110.94259228971792,False
190,SOM,8.479507965731305,166.5634186096518,False
191,SPM,1.0,1.0,False
192,SRB,355.67497410804685,739.5694617094931,False
193,SSD,1.114025333063538,163.3829061958076,False
194,STP,6.87087739446811,301.3168365143011,False
195,SUN,1.0,1.0,False
196,SUR,5.73687672371302,417.2512992090177,True
197,SVK,234.21333042495158,551.8775085734261,False
198,SVN,390.12683495576425,737.6425887646477,False
199,SWE,473.55627124099595,700.0373967233392,False
200,SWZ,34.59692070156048,489.784261203692,False
201,SXM,6.408540339530017,74.1043841511055,True
202,SYC,11.50951452471254,101.98356710416667,False
203,SYR,94.22720479777935,409.7751851611141,False
204,TCA,36.45887248651752,235.82841599278424,True
205,TCD,1.9772332839029687,245.46313733788799,False
206,TGO,28.94450295867788,58.996121641940874,False
207,THA,362.72687357773583,579.7348602781186,False
208,TJK,22.994577603875392,396.8917212426482,False
209,TKL,1.0,1.0,False
210,TKM,3.9408501356439176,421.2338593454512,False
211,TLS,3.3902415995615613,257.42916942570037,False
212,TON,19.17057266370873,169.19557727089432,False
213,TTO,20.397178981839016,224.5313538570686,True
214,TUN,233.67078875688136,620.129200330211,False
215,TUR,511.2295626875752,606.8977878870592,False
216,TUV,2.5978591076765354,55.83741893330607,False
217,TZA,29.06479830463726,344.53428774880354,False
218,UGA,68.52277745566603,292.0591731326808,False
219,UKR,164.2217281292947,510.4891474600385,False
220,URY,62.45626940981048,339.2747203853693,True
221,USA,555.0779538570825,514.255612086331,False
222,UZB,23.161687030434248,460.35245853167106,False
223,VCT,13.855902380285668,379.51259416566006,True
224,VEN,3.5792540053286865,308.0882471016556,True
225,VGB,16.811392494020403,28.42285792388541,True
226,VNM,205.97487806902188,577.788417709922,False
227,VUT,7.643093815538399,218.94420858423788,False
228,WLF,1.0,1.0,False
229,WSM,27.069736128177254,331.7466192148462,False
230,YEM,8.279276264019384,266.21367462197213,False
231,ZA1,1.0,1.0,False
232,ZAF,158.75194366346597,521.7157944170739,False
233,ZMB,11.731224380214975,238.522394597944,False
234,ZWE,25.304325113544127,181.60209065702134,False
