,countries,export_product_diversity,import_product_diversity,is_latinoamerica
0,ABW,2.1181815271641407,148.880644843294,True
1,AFG,24.017223799108308,107.55638390557608,False
2,AGO,1.7947691978074685,256.24235914175574,False
3,AIA,1.0,1.0,False
4,ALB,111.5164475957139,586.4553814859515,False
5,AND,130.84300852942593,410.20869755570317,False
6,ANT,1.0,1.0,False
7,ARE,23.667335678002893,664.576170348701,False
8,ARG,170.83838789077728,864.9238266862899,True
9,ARM,40.29699838035765,241.13932548083878,False
10,ASM,1.0,1.0,False
11,ATF,1.0,1.0,False
12,ATG,55.65045706922255,50.186901906323286,True
13,AUS,225.5977144238241,708.8090103533026,False
14,AUT,794.9594150833274,996.958360704412,False
15,AZE,9.65747428211416,427.0853307884061,False
16,BDI,3.169070922468582,258.09635985438297,False
17,BEL,679.3572944696001,872.8445491764003,False
18,BEN,7.663788618325959,251.54265165288624,False
19,BES,1.0,1.0,False
20,BFA,9.814027428903811,296.3087108037316,False
21,BGD,56.678089934466534,472.6954087506656,False
22,BGR,434.982579845701,723.5554507938466,False
23,BHR,19.342804268557593,213.69455262068686,False
24,BHS,53.36582430660858,84.68369771029049,True
25,BIH,146.33974346558873,724.3267390010069,False
26,BLM,1.0,1.0,False
27,BLR,247.0268912610769,477.42588651660213,False
28,BLZ,31.512047651403297,160.31237344527216,True
29,BMU,16.455863605995354,55.29214254540718,False
30,BOL,37.30238119000291,641.2582796202184,True
31,BRA,281.71346928309254,639.2254530378929,True
32,BRB,94.34505349367492,619.334430660629,True
33,BRN,5.359409087506069,323.12935433561944,False
34,BTN,11.431130201147148,183.0408930882247,False
35,BWA,1.0,1.0,False
36,CAF,5.288685405704921,214.5724944926074,False
37,CAN,265.54780524876315,679.3308295001116,False
38,CCK,1.0,1.0,False
39,CHE,484.81889398897965,670.9205298898698,False
40,CHL,74.99913875377854,718.1199319646845,True
41,CHN,783.0506722394432,770.8076715592542,False
42,CIV,38.20823429485976,328.9101067345133,False
43,CMR,14.266148193957745,367.22696735898853,False
44,COD,4.405809981308342,283.83192887102297,False
45,COG,3.438373686001623,348.82209141868873,False
46,COK,1.0,1.0,False
47,COL,52.01150691441393,897.6867162460709,True
48,COM,15.226346268545019,323.2276650239597,False
49,CPV,23.9759945553626,388.46600785427063,False
50,CRI,47.23879062968361,559.0051409968563,True
51,CSK,1.0,1.0,False
52,CUB,20.209805801966347,608.1269053144176,True
53,CUW,1.0,1.0,True
54,CXR,1.0,1.0,False
55,CYM,6.912937687479493,48.40075941451104,True
56,CYP,125.90812076903919,381.35591084682,False
57,CZE,729.6768062274439,994.0217709486944,False
58,DDR,1.0,1.0,False
59,DEU,830.2368274203723,946.8557986277993,False
60,DJI,39.35641072655072,201.40996079668298,False
61,DMA,53.786075225705694,540.1416208711792,True
62,DNK,656.2524187368375,1034.443138112278,False
63,DOM,75.94794498826789,430.88824207274473,True
64,DZA,6.844769978442902,498.31168786970295,False
65,ECU,22.83000677739487,592.1483870096009,True
66,EGY,82.59947067610251,730.3543304067858,False
67,ERI,17.55695741621394,209.7417287629394,False
68,ESP,668.4929722321552,830.5955359453149,False
69,EST,304.965082719248,684.7571046700397,False
70,ETH,10.663276557722515,393.69720742855634,False
71,FIN,263.33577519479246,759.2950820896012,False
72,FJI,51.113088157088164,262.858262896946,False
73,FLK,1.0,1.0,False
74,FRA,741.6800495233766,946.3409216734175,False
75,FSM,8.425282460180764,139.46502055699793,False
76,GAB,4.554376487652789,439.69858111957063,False
77,GBR,577.900652495395,764.8163828074896,False
78,GEO,86.16384434552721,244.92810460285625,False
79,GHA,34.05098993203688,471.76708381952824,False
80,GIB,31.09725166911066,11.015938753781324,False
81,GIN,8.566409499287973,275.64803547186705,False
82,GMB,9.06538457824713,281.2607682542418,False
83,GNB,4.6251780324858265,179.9897622896846,False
84,GNQ,3.2330431154067782,34.727865718892595,False
85,GRC,351.62847952290326,733.9709131891348,False
86,GRD,21.532531339762027,394.1094362710704,True
87,GRL,7.137274172809888,293.76895179867216,False
88,GTM,121.13873779137592,704.8175008481577,True
89,GUM,1.0,1.0,False
90,GUY,18.60131085579587,495.5269307789563,True
91,HKG,488.5910997143195,717.3075339886343,False
92,HND,93.5337564268462,535.7377668216213,True
93,HRV,295.1420178694787,870.5157199559965,False
94,HTI,23.540512181119443,228.18643752907795,True
95,HUN,301.51157198047053,661.526562094928,False
96,IDN,315.6673372524432,599.454075179819,False
97,IND,398.79489791133494,176.80765486784858,False
98,IOT,1.0,1.0,False
99,IRL,131.20620851771272,448.4228430912115,False
100,IRN,7.583567933476289,525.8170400785626,False
101,IRQ,1.1088338392755135,123.92742846074628,False
102,ISL,33.94478739945595,599.7864058007023,False
103,ISR,150.2490109787127,394.98688752637673,False
104,ITA,1026.0816652708106,832.6112346754545,False
105,JAM,21.70459789509344,458.4470076478636,True
106,JOR,97.81747918219934,612.135179977549,False
107,JPN,391.4661984450608,522.793720238764,False
108,KAZ,31.99588826360905,352.506518895494,False
109,KEN,76.24954541526982,496.4424743538985,False
110,KGZ,17.477456773049216,302.7259449495001,False
111,KHM,37.992283160595065,198.11220216976315,False
112,KIR,7.784669506108031,238.69906029971045,False
113,KNA,17.81243444862606,494.2964519846017,True
114,KOR,285.45603327121313,359.67339696885534,False
115,KWT,3.66916155530055,487.29635018277855,False
116,LAO,41.40983359916141,134.6895403566947,False
117,LBN,183.9919069196109,507.36403902282564,False
118,LBR,7.018609095765132,5.08810478481627,False
119,LBY,2.5036371972313196,420.3666783833445,False
120,LCA,21.162348839385984,502.33300946733516,True
